movie,processed_movie,expanded-genres,Associated Music Genres
   Demolition Man (1993),demolition man,"Action, Sci-Fi, Thriller","punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,rock,metal,chill,electronic"
   Lost Highway,lost highway,"Mystery, Thriller","ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,chill,electronic,trip-hop"
   The Glass Castle (2017),the glass castle,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Child's Play (2019),child's play,"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Hitch (2005),hitch,"Adventure, Comedy, Romance","acoustic,indie,folk,ambient,romantic,pop,singer-songwriter,new-age,alternative,world-music,r-n-b,rock,soul"
   The Double (2013),the double,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   The Italian Job (2003),the italian job,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   Total Eclipse (1995),total eclipse,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The others (2001),the others,"Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   The Lovely Bones (2009),the lovely bones,"Drama, Fantasy, Thriller","acoustic,piano,folk,ambient,dubstep,chill,epic-fantasy,singer-songwriter,soundtrack,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,world-music,electronic,indie"
   Down with Love (2003),down with love,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Spartacus (1960),spartacus,"Adventure, Biography, Drama","acoustic,indie,folk,ambient,country,piano,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Destination Wedding (2018),destination wedding,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
"   As Above, So Below (2014)","as above, so below","Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   The Maltese Falcon (1941),the maltese falcon,"Crime, Film-Noir, Mystery","jazz,funk,downtempo,dubstep,synthwave,grime,dark-ambient,trip-hop,reggae,ambient,trap,trumpet,chill,electronic,saxophone,blues,jazz-noir,drum-and-bass,hip-hop,soul"
   Fracture (2007),fracture,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Eli (2019),eli,"Drama, Horror, Mystery","acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   Brainscan (1994),brainscan,"Horror, Sci-Fi","darkwave,ambient,synth-pop,retro,synthwave,space,dark-ambient,noise,metal,chill,electronic,industrial"
   The Game (1997),the game,"Action, Drama","acoustic,piano,punk,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   Sherlock Gnomes,sherlock gnomes,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Wave (Die Welle; 2008),the wave,"Action, Drama, Thriller","acoustic,piano,punk,ambient,dubstep,hard-rock,alternative,singer-songwriter,synthwave,indie-pop,drum-and-bass,dark-ambient,rock,metal,chill,electronic,indie"
   What Women Want (2000),what women want,"Comedy, Fantasy, Romance","indie,folk,ambient,romantic,soundtrack,epic-fantasy,pop,singer-songwriter,alternative,world-music,r-n-b,rock,soul"
   The Post (2017),the post,"Biography, Drama, History","acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   Love Letter (1995),love letter,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   This Beautiful Fantastic (2016),this beautiful fantastic,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Rafiki (2018),rafiki,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Julie & Julia (2009),julie & julia,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Plague Dogs (1982),the plague dogs,"Animation, Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   My Name Is Nobody (1973),my name is nobody,"Action, Biography, Drama","acoustic,country,folk,punk,piano,dubstep,hard-rock,alternative,pop,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   First Blood (1982),first blood,"Action, Adventure, Thriller","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synthwave,drum-and-bass,dark-ambient,new-age,rock,metal,world-music,electronic"
   The Wife (2017),the wife,"Crime, Horror, Romance","pop,darkwave,folk,dubstep,singer-songwriter,grime,noise,dark-ambient,reggae,ambient,trap,metal,electronic,romantic,drum-and-bass,hip-hop,r-n-b,indie,industrial,soul"
"   Like crazy (La pazza gioia, 2016)",like crazy,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Nine Queens (2000),nine queens,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   The good son (1993),the good son,"Drama, Thriller","acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   Splash (1984),splash,"Comedy, Fantasy, Romance","indie,folk,ambient,romantic,soundtrack,epic-fantasy,pop,singer-songwriter,alternative,world-music,r-n-b,rock,soul"
   River's Edge (1986),river's edge,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   The Saint (1996),the saint,"Action, Adventure, Romance","pop,rock,folk,dubstep,singer-songwriter,acoustic,ambient,hard-rock,new-age,metal,world-music,electronic,punk,romantic,drum-and-bass,alternative,r-n-b,indie,soul"
   The Losers (2010),the losers,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Forever My Girl (2018),forever my girl,"Comedy, Drama, Music","acoustic,jazz,piano,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   The Italian Job (1969),the italian job,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   Valerie and Her Week of Wonders,valerie and her week of wonders,"Adventure, Drama, Fantasy","acoustic,indie,folk,ambient,piano,epic-fantasy,singer-songwriter,soundtrack,indie-pop,new-age,alternative,world-music,rock"
   Prince of Darkness (1987),prince of darkness,Horror,"darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
   Marley & Me (2008),marley & me,"Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   2001: A Space Odyssey (1968),2001: a space odyssey,"Adventure, Sci-Fi","acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock"
   Tesla (2020),tesla,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Shanghai Knights (2003),shanghai knights,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   All That Jazz (1979),all that jazz,,"jazz"
   From Hell,from hell,"Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   I can't think straight,i can't think straight,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Sure Thing,the sure thing,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Svaha: The Sixth Finger,svaha: the sixth finger,"Crime, Horror, Mystery","darkwave,chill,reggae,ambient,dubstep,metal,synthwave,trap,downtempo,drum-and-bass,grime,noise,hip-hop,dark-ambient,trip-hop,electronic,industrial"
   Gamer (2009),gamer,"Action, Sci-Fi, Thriller","punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,rock,metal,chill,electronic"
   Enter the Void (2009),enter the void,"Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Children of Paradise (Les Enfants du Paradis),children of paradise,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Strangers on a Train (1951),strangers on a train,"Crime, Drama, Film-Noir","jazz,piano,funk,indie-pop,dubstep,singer-songwriter,grime,acoustic,reggae,trap,trumpet,electronic,saxophone,alternative,blues,jazz-noir,drum-and-bass,hip-hop,rock,indie,soul"
   Il Marchese del Grillo (1981),il marchese del grillo,"Comedy, History","piano,ambient,epic,opera,world-music,classical,symphony"
   The Equalizer ( 2014- 2018),the equalizer,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   The Monster (1994),the monster,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   The 13th Warrior (1999),the 13th warrior,"Action, Adventure, History","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,epic,drum-and-bass,opera,new-age,rock,metal,world-music,electronic,classical,symphony"
   Primer (2004),primer,"Drama, Sci-Fi, Thriller","acoustic,piano,ambient,dubstep,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,space,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   Casanova (2005),casanova,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   The Man from Earth (2007),the man from earth,"Drama, Fantasy, Mystery","acoustic,piano,folk,ambient,chill,trip-hop,epic-fantasy,singer-songwriter,soundtrack,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,world-music,electronic,indie"
   Shirley (2020),shirley,"Biography, Drama, Horror","acoustic,country,folk,piano,ambient,darkwave,metal,pop,singer-songwriter,rock,indie-pop,noise,alternative,dark-ambient,electronic,indie,industrial"
   Life (2017),life,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Videodrome (1983),videodrome,"Horror, Sci-Fi, Thriller","darkwave,ambient,dubstep,synth-pop,retro,synthwave,space,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Behind the Mask: The Rise of Leslie Vernon (2006),behind the mask: the rise of leslie vernon,"Comedy, Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Lady J (2018),lady j,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Black Widow,black widow,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Under Siege,under siege,"Action, Thriller","punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   Ran (1985),ran,"Action, Drama, War","acoustic,piano,punk,patriotic,dubstep,hard-rock,alternative,soundtrack,singer-songwriter,indie-pop,drum-and-bass,rock,metal,world-music,electronic,indie"
   The Vast of Night (2019),the vast of night,"Drama, Mystery, Sci-Fi","acoustic,piano,chill,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,downtempo,space,alternative,dark-ambient,trip-hop,electronic,indie"
   Gone in 60 Seconds (2000),gone in 60 seconds,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   Sebastiane (1976),sebastiane,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Career Opportunities,career opportunities,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Autumn in New York (2000),autumn in new york,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   A Bridge Too Far (1977),a bridge too far,"Drama, History, War","acoustic,piano,ambient,patriotic,punk,classical,epic,soundtrack,singer-songwriter,rock,indie-pop,world-music,opera,alternative,metal,symphony,indie"
   Hum Tum,hum tum,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Mujhse Shaadi Karogi,mujhse shaadi karogi,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Begin Again (2013),begin again,"Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Steve Jobs (2015),steve jobs,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   The Founder (2016),the founder,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   The Handmaiden (2016),the handmaiden,"Drama, Romance, Thriller","piano,pop,indie-pop,folk,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,chill,electronic,alternative,romantic,drum-and-bass,rock,r-n-b,indie,soul"
   Dark Shadows (2012),dark shadows,"Comedy, Fantasy, Horror","darkwave,folk,ambient,metal,soundtrack,epic-fantasy,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
   Training Day (2001),training day,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Being John Malkovich (1999),being john malkovich,"Comedy, Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Funny Games (2007),funny games,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   What Happened to Monday (2017),what happened to monday,"Action, Crime, Fantasy","folk,punk,reggae,dubstep,hard-rock,ambient,alternative,epic-fantasy,soundtrack,trap,drum-and-bass,grime,hip-hop,rock,metal,world-music,electronic"
   Gerald's Game (2017),gerald's game,"Drama, Horror, Thriller","acoustic,darkwave,piano,ambient,dubstep,metal,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,noise,alternative,dark-ambient,chill,electronic,indie,industrial"
   Hancock (2008),hancock,"Action, Drama, Fantasy","acoustic,piano,punk,folk,dubstep,hard-rock,alternative,ambient,epic-fantasy,singer-songwriter,soundtrack,indie-pop,drum-and-bass,rock,metal,world-music,electronic,indie"
   Blade,blade,"Action, Horror, Sci-Fi","darkwave,punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,noise,rock,metal,chill,electronic,industrial"
   Water for Elephants (2011),water for elephants,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Rock (1996),the rock,"Action, Adventure, Thriller","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synthwave,drum-and-bass,dark-ambient,new-age,rock,metal,world-music,electronic"
"   Aguirre, the Wrath of God","aguirre, the wrath of god","Action, Adventure, Biography","acoustic,country,folk,punk,ambient,dubstep,hard-rock,alternative,pop,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Eyes Wide Shut (1999),eyes wide shut,"Drama, Mystery, Thriller","acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
